,PUBID_1997,KEY_SEX_1997,KEY_BDATE_M_1997,KEY_BDATE_Y_1997,CV_SAMPLE_TYPE_1997,KEY_RACE_ETHNICITY_1997,CV_CENSUS_REGION_2007,CV_HIGHEST_DEGREE_0708_2007,CV_MARSTAT_COLLAPSED_2007,CV_MSA_2007,CV_BIO_CHILD_HH_2007,CV_URBAN-RURAL_2007,YINC-1700_2007,CVC_HOURS_WK_YR_ALL.07_XRND
1,1,2,9,1981,1,4,1,4,0,3,NA,1,112215,1875
2,2,1,7,1982,1,2,NA,NA,NA,NA,NA,NA,NA,2000
3,3,2,9,1983,1,2,NA,NA,NA,NA,NA,NA,NA,NA
4,4,2,2,1981,1,2,1,2,0,2,1,1,32000,1785
5,5,1,10,1982,1,2,1,2,0,3,NA,1,25000,2240
6,6,2,1,1982,1,2,1,2,1,3,NA,1,15000,1608
7,7,1,4,1983,1,2,NA,NA,NA,NA,NA,NA,NA,NA
8,8,2,6,1981,1,4,NA,4,0,5,NA,NA,20000,540
9,9,1,10,1982,1,4,1,4,0,3,NA,1,20000,1702
10,10,1,3,1984,1,4,1,4,0,3,NA,1,5000,2147
11,11,2,6,1982,1,2,1,2,0,3,1,1,8000,1820
12,12,1,10,1981,1,2,1,1,0,3,NA,1,45000,4822
13,13,1,11,1984,1,2,1,0,0,3,NA,1,17000,2080
14,14,1,7,1980,1,2,NA,NA,NA,NA,NA,NA,NA,2080
15,15,2,1,1983,1,2,NA,NA,NA,NA,NA,NA,NA,1820
16,16,1,2,1982,1,2,1,2,0,3,NA,1,NA,0
17,17,2,11,1981,1,2,NA,NA,NA,NA,NA,NA,NA,NA
18,18,1,2,1982,1,1,1,0,0,3,1,1,NA,1099
19,19,1,4,1984,1,1,NA,NA,NA,NA,NA,NA,NA,0
20,20,1,12,1980,1,1,NA,NA,NA,NA,NA,NA,NA,0
21,21,1,8,1982,1,2,1,1,0,3,NA,1,14000,2472
22,22,1,6,1982,1,2,1,2,0,3,NA,1,52000,2496
23,23,2,1,1983,1,2,1,3,1,3,NA,1,NA,2275
24,24,1,6,1984,1,2,1,0,0,3,2,1,NA,NA
25,25,2,3,1983,1,2,1,1,1,3,2,1,4000,276
26,26,1,10,1980,1,1,1,0,0,3,NA,1,NA,0
27,27,1,5,1981,1,1,1,0,0,3,1,0,3000,1780
28,28,2,11,1983,1,1,1,4,0,3,NA,1,30000,2366
29,29,2,1,1983,1,4,NA,NA,NA,NA,NA,NA,NA,NA
30,30,1,6,1981,1,4,NA,NA,NA,NA,NA,NA,NA,NA
31,31,1,7,1982,1,4,1,4,0,3,NA,1,45000,2124
32,32,2,7,1981,1,4,NA,NA,NA,NA,NA,NA,NA,2080
33,33,2,12,1980,1,4,1,4,0,3,NA,1,12000,2469
34,34,2,12,1984,1,4,1,3,0,3,NA,1,NA,905
35,35,1,1,1983,1,4,1,4,0,3,NA,1,4000,2018
36,36,2,8,1980,1,4,4,2,1,3,2,1,NA,0
37,37,2,11,1980,1,4,1,4,0,3,NA,1,NA,1710
38,38,2,9,1981,1,4,1,4,0,3,NA,1,25000,2735
39,39,1,2,1980,1,2,1,4,0,3,NA,1,4200,426
40,40,2,5,1984,1,4,NA,NA,NA,NA,NA,NA,NA,NA
41,41,2,1,1983,1,4,1,4,0,3,NA,1,16000,1820
42,42,1,8,1983,1,4,1,2,0,3,NA,1,12000,780
